,average_compound,perc_pos,perc_neg,perc_neut,perc_esg_phrases
Ford2022,-0.07392996108949416,0.10700389105058365,0.18093385214007782,0.7120622568093385,0.1104520351810186
GeneralElectric2019,-0.042328042328042326,0.10229276895943562,0.14462081128747795,0.7530864197530864,0.12056737588652482
GeneralElectric2020,-0.05668016194331984,0.11336032388663968,0.1700404858299595,0.7165991902834008,0.1408564503097226
GeneralElectric2021,-0.029940119760479042,0.1437125748502994,0.17365269461077845,0.6826347305389222,0.15414201183431953
GeneralElectric2022,-0.049689440993788817,0.12008281573498965,0.16977225672877846,0.7101449275362319,0.16300839251129762
Hershey2019,0.10089020771513353,0.20771513353115728,0.10682492581602374,0.685459940652819,0.12278876170655567
Hershey2020,0.0948509485094851,0.21951219512195122,0.12466124661246612,0.6558265582655827,0.1326530612244898
Hershey2021,0.08951406649616368,0.23017902813299232,0.14066496163682865,0.629156010230179,0.14112763749567625
Hershey2022,0.13445378151260504,0.2661064425770308,0.13165266106442577,0.6022408963585434,0.12621685129238
JPMorgan2019,-0.024291497975708502,0.008097165991902834,0.032388663967611336,0.9595141700404858,0.046502353035016354
JPMorgan2020,-0.1021021021021021,0.036036036036036036,0.13813813813813813,0.8258258258258259,0.09631360332294912
JPMorgan2021,-0.09090909090909091,0.04434589800443459,0.1352549889135255,0.8203991130820399,0.08161776625060788
JPMorgan2022,-0.10786516853932585,0.035955056179775284,0.14382022471910114,0.8202247191011236,0.09465255933657421
Kellogg2019,-0.03966597077244259,0.15866388308977036,0.19832985386221294,0.6430062630480167,0.14026770775237032
Kellogg2020,-0.05182341650671785,0.1765834932821497,0.22840690978886757,0.5950095969289827,0.15334467120181405
Kellogg2021,-0.04208416833667335,0.19238476953907815,0.23446893787575152,0.5731462925851704,0.16565008025682182
Kellogg2022,-0.09760956175298804,0.16533864541832669,0.26294820717131473,0.5717131474103586,0.15162980209545984
McDonald2019,0.08480565371024736,0.24734982332155478,0.1625441696113074,0.5901060070671378,0.09910220994475138
McDonald2020,0.012195121951219513,0.21951219512195122,0.2073170731707317,0.573170731707317,0.1173974540311174
McDonald2021,0.13496932515337423,0.2791411042944785,0.1441717791411043,0.5766871165644172,0.11700247437256982
McDonald2022,0.07100591715976332,0.23964497041420119,0.16863905325443787,0.591715976331361,0.1186264308012487
MorganStanley2019,-0.05871886120996441,0.03202846975088968,0.09074733096085409,0.8772241992882562,0.10368823938761308
MorganStanley2020,-0.04487179487179487,0.05128205128205128,0.09615384615384616,0.8525641025641025,0.11009947732254258
MorganStanley2021,-0.07155635062611806,0.04114490161001789,0.11270125223613596,0.8461538461538461,0.10282821229050279
MorganStanley2022,-0.09532710280373832,0.037383177570093455,0.13271028037383178,0.8299065420560747,0.11224489795918367
MotorcarParts2019,-0.0061162079510703364,0.09174311926605505,0.09785932721712538,0.8103975535168195,0.1377075739165654
MotorcarParts2020,-0.03313253012048193,0.10843373493975904,0.14156626506024098,0.75,0.1457975986277873
MotorcarParts2021,-0.030470914127423823,0.11634349030470914,0.14681440443213298,0.7368421052631579,0.16314863676341249
MotorcarParts2022,-0.03560830860534125,0.12462908011869436,0.16023738872403562,0.7151335311572701,0.16334283000949668
Petrogas2019,-0.3,0.016666666666666666,0.31666666666666665,0.6666666666666666,0.08806818181818182
Petrogas2020,-0.29508196721311475,0.01639344262295082,0.3114754098360656,0.6721311475409836,0.08665749656121045
Petrogas2021,-0.3114754098360656,0.01639344262295082,0.32786885245901637,0.6557377049180327,0.08665749656121045
Petrogas2022,-0.2833333333333333,0.05,0.3333333333333333,0.6166666666666667,0.08659217877094973
Rivian2021,-0.09776536312849161,0.18156424581005587,0.27932960893854747,0.5391061452513967,0.13289996388587938
Rivian2022,-0.1317365269461078,0.15568862275449102,0.2874251497005988,0.5568862275449101,0.1443558539655896
RoyalEnergy2019,-0.02654867256637168,0.035398230088495575,0.061946902654867256,0.9026548672566371,0.07862903225806452
RoyalEnergy2020,-0.052083333333333336,0.03125,0.08333333333333333,0.8854166666666666,0.07517084282460136
RoyalEnergy2021,-0.09574468085106383,0.031914893617021274,0.1276595744680851,0.8404255319148937,0.07716785998408911
Silicon2019,-0.054140127388535034,0.06687898089171974,0.12101910828025478,0.8121019108280255,0.07176542956735699
Silicon2020,-0.03201347935973041,0.030328559393428812,0.062342038753159225,0.9073294018534119,0.1506930458476484
Silicon2021,-0.047156726768377254,0.047156726768377254,0.09431345353675451,0.8585298196948682,0.12506130456105935
Silicon2022,-0.13569321533923304,0.04424778761061947,0.17994100294985252,0.775811209439528,0.07491031863262292
StandardMotor2019,0.0449438202247191,0.12921348314606743,0.08426966292134831,0.7865168539325843,0.1435739096873794
StandardMotor2020,0.03526448362720403,0.1486146095717884,0.11335012594458438,0.7380352644836272,0.15699006875477464
StandardMotor2021,0.043256997455470736,0.1806615776081425,0.13740458015267176,0.6819338422391857,0.16135458167330677
StandardMotor2022,-0.02481389578163772,0.13399503722084366,0.1588089330024814,0.707196029776675,0.15803303303303304
Tesla2019,-0.05215419501133787,0.10204081632653061,0.15419501133786848,0.7437641723356009,0.11119329388560158
Tesla2020,-0.004524886877828055,0.13122171945701358,0.13574660633484162,0.7330316742081447,0.12260846133117757
Tesla2021,-0.013368983957219251,0.1443850267379679,0.15775401069518716,0.6978609625668449,0.11739659367396593
Tesla2022,-0.005988023952095809,0.16467065868263472,0.17065868263473055,0.6646706586826348,0.11883252258512857
